Conference,TopicID,Word,Month,Probability
tourism,1,third,Jul,0.0
tourism,1,third,Aug,0.0
tourism,1,third,Sep,0.0
tourism,1,third,Oct,0.0
tourism,1,third,Nov,0.0
tourism,1,third,Dec,0.0
tourism,1,helsinki,Jan,0.0
tourism,1,helsinki,Feb,0.0
tourism,1,helsinki,Mar,0.014089502
tourism,1,helsinki,Apr,0.015000164
tourism,1,helsinki,May,0.017994558
tourism,1,helsinki,Jun,0.0
tourism,1,helsinki,Jul,0.013632852
tourism,1,helsinki,Aug,0.0
tourism,1,helsinki,Sep,0.0
tourism,1,helsinki,Oct,0.0
tourism,1,helsinki,Nov,0.0
tourism,1,helsinki,Dec,0.0
tourism,1,flow,Jan,0.0
tourism,1,flow,Feb,0.0
tourism,1,flow,Mar,0.0
tourism,1,flow,Apr,0.0
tourism,1,flow,May,0.0
tourism,1,flow,Jun,0.0
tourism,1,flow,Jul,0.0
tourism,1,flow,Aug,0.0
tourism,1,flow,Sep,0.0
tourism,1,flow,Oct,0.0
tourism,1,flow,Nov,0.0
tourism,1,flow,Dec,0.011974683
tourism,1,credit,Jan,0.0
tourism,1,credit,Feb,0.0
tourism,1,credit,Mar,0.014473989
tourism,1,credit,Apr,0.0
tourism,1,credit,May,0.0
tourism,1,credit,Jun,0.011742383
tourism,1,credit,Jul,0.0156936
tourism,1,credit,Aug,0.021532683
tourism,1,credit,Sep,0.01189104
tourism,1,credit,Oct,0.0
tourism,1,credit,Nov,0.0
tourism,1,credit,Dec,0.012705688
tourism,2,leaders,Jan,0.0
tourism,2,leaders,Feb,0.0
tourism,2,leaders,Mar,0.0
tourism,2,leaders,Apr,0.0
tourism,2,leaders,May,0.0
tourism,2,leaders,Jun,0.0
tourism,2,leaders,Jul,0.0
tourism,2,leaders,Aug,0.0
tourism,2,leaders,Sep,0.00666263
tourism,2,leaders,Oct,0.0
tourism,2,leaders,Nov,0.0
tourism,2,leaders,Dec,0.0
tourism,2,czech,Jan,0.0
tourism,2,czech,Feb,0.0
tourism,2,czech,Mar,0.0
tourism,2,czech,Apr,0.008708586
tourism,2,czech,May,0.0067188703
tourism,2,czech,Jun,0.0
tourism,2,czech,Jul,0.0061546667
tourism,2,czech,Aug,0.0
tourism,2,czech,Sep,0.0
tourism,2,czech,Oct,0.0
tourism,2,czech,Nov,0.0
tourism,2,czech,Dec,0.0
tourism,2,abis,Jan,0.0
tourism,2,abis,Feb,0.0
tourism,2,abis,Mar,0.0
tourism,2,abis,Apr,0.005353007
tourism,2,abis,May,0.006588259
tourism,2,abis,Jun,0.0
tourism,2,abis,Jul,0.007552381
tourism,2,abis,Aug,0.0
tourism,2,abis,Sep,0.0
tourism,2,abis,Oct,0.0
tourism,2,abis,Nov,0.0
tourism,2,abis,Dec,0.0
tourism,2,half,Jan,0.0094147045
tourism,2,half,Feb,0.014649772
tourism,2,half,Mar,0.00853822
tourism,2,half,Apr,0.013101086
tourism,2,half,May,0.013234039
tourism,2,half,Jun,0.009919052
tourism,2,half,Jul,0.013440951
tourism,2,half,Aug,0.01088919
tourism,2,half,Sep,0.009849199
tourism,2,half,Oct,0.010449331
tourism,2,half,Nov,0.012767764
tourism,2,half,Dec,0.010822321
tourism,2,rapprocha,Jan,0.028323315
tourism,2,rapprocha,Feb,0.032191556
tourism,2,rapprocha,Mar,0.035554994
tourism,2,rapprocha,Apr,0.03838134
tourism,2,rapprocha,May,0.043553323
tourism,2,rapprocha,Jun,0.049279694
tourism,2,rapprocha,Jul,0.04317546
tourism,2,rapprocha,Aug,0.04693313
tourism,2,rapprocha,Sep,0.046968736
tourism,2,rapprocha,Oct,0.03417486
tourism,2,rapprocha,Nov,0.036973536
tourism,2,rapprocha,Dec,0.04333314
tourism,2,yellow,Jan,0.0
tourism,2,yellow,Feb,0.0
tourism,2,yellow,Mar,0.006649766
tourism,2,yellow,Apr,0.0
tourism,2,yellow,May,0.0070409896
tourism,2,yellow,Jun,0.007931742
tourism,2,yellow,Jul,0.0
tourism,2,yellow,Aug,0.0134142125
tourism,2,yellow,Sep,0.009289929
tourism,2,yellow,Oct,0.00750727
tourism,2,yellow,Nov,0.015255829
tourism,2,yellow,Dec,0.016201606
tourism,2,howling,Jan,0.0
tourism,2,howling,Feb,0.0
tourism,2,howling,Mar,0.0
tourism,2,howling,Apr,0.0
tourism,2,howling,May,0.0
tourism,2,howling,Jun,0.0
tourism,2,howling,Jul,0.0
tourism,2,howling,Aug,0.0
tourism,2,howling,Sep,0.008986037
tourism,2,howling,Oct,0.0
tourism,2,howling,Nov,0.0
tourism,2,howling,Dec,0.0
tourism,2,weather,Jan,0.0
tourism,2,weather,Feb,0.007177766
tourism,2,weather,Mar,0.011077253
tourism,2,weather,Apr,0.0075706327
tourism,2,weather,May,0.006591008
tourism,2,weather,Jun,0.010430941
tourism,2,weather,Jul,0.009070008
tourism,2,weather,Aug,0.00762378
tourism,2,weather,Sep,0.008771508
tourism,2,weather,Oct,0.007124333
tourism,2,weather,Nov,0.010268177
tourism,2,weather,Dec,0.008770675
tourism,2,titig,Jan,0.0
tourism,2,titig,Feb,0.0
tourism,2,titig,Mar,0.0
tourism,2,titig,Apr,0.0
tourism,2,titig,May,0.0
tourism,2,titig,Jun,0.006984791
tourism,2,titig,Jul,0.0
tourism,2,titig,Aug,0.0
tourism,2,titig,Sep,0.0070701116
tourism,2,titig,Oct,0.0
tourism,2,titig,Nov,0.0
tourism,2,titig,Dec,0.0
tourism,2,togetherforever,Jan,0.0
tourism,2,togetherforever,Feb,0.0068806573
tourism,2,togetherforever,Mar,0.0
tourism,2,togetherforever,Apr,0.0
tourism,2,togetherforever,May,0.0
tourism,2,togetherforever,Jun,0.0
tourism,2,togetherforever,Jul,0.0
tourism,2,togetherforever,Aug,0.0
tourism,2,togetherforever,Sep,0.0
tourism,2,togetherforever,Oct,0.0056547243
tourism,2,togetherforever,Nov,0.0
tourism,2,togetherforever,Dec,0.0
tourism,2,speak,Jan,0.0
tourism,2,speak,Feb,0.0
tourism,2,speak,Mar,0.0
tourism,2,speak,Apr,0.005457209
tourism,2,speak,May,0.0
tourism,2,speak,Jun,0.0
tourism,2,speak,Jul,0.0
tourism,2,speak,Aug,0.0
tourism,2,speak,Sep,0.0
tourism,2,speak,Oct,0.0
tourism,2,speak,Nov,0.0
tourism,2,speak,Dec,0.0
tourism,2,buddy,Jan,0.04938548
tourism,2,buddy,Feb,0.04909849
tourism,2,buddy,Mar,0.041077517
tourism,2,buddy,Apr,0.041648243
tourism,2,buddy,May,0.04162263
tourism,2,buddy,Jun,0.035573274
tourism,2,buddy,Jul,0.044038065
tourism,2,buddy,Aug,0.03691685
tourism,2,buddy,Sep,0.034127902
